Gender,Married,Dependents,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status,Education_Not Graduate,Property_Area_Semiurban,Property_Area_Urban
1,1,2.0,0,22111.0,4543.0,246.0,360.0,1.0,1,0,1,0
1,0,0.9619249074563723,0,19761.0,8014.0,575.0,314.1662255161461,0.0,0,0,0,0
0,0,0.0,0,20370.0,318.0,681.0,360.0,1.0,0,0,1,0
1,1,3.0,0,24770.0,3475.0,436.0,360.0,0.0,0,0,0,1
1,1,1.0,0,22719.0,14197.0,457.0,360.0,1.0,1,1,0,0
1,1,1.0,0,13437.0,14372.0,318.0,360.0,1.0,1,0,1,0
1,1,1.0,0,2294.0,10970.0,220.0,360.0,1.0,0,0,0,1
0,1,0.0,0,16098.0,11250.0,633.0,180.0,1.0,0,1,1,0
0,0,0.0,0,8286.0,5153.0,219.0,360.0,1.0,1,0,0,1
0,0,1.0,0,5514.0,4134.0,208.0,314.1662255161461,1.0,1,0,1,0
0,1,0.0,0,8892.0,1602.0,558.0,360.0,1.0,0,0,0,0
0,1,3.0,0,14045.0,2256.0,496.0,300.0,1.0,1,0,0,0
1,1,0.0,0,6853.0,9021.0,131.0,300.0,0.0,0,0,0,1
0,1,0.0,0,4907.0,9047.0,106.0,360.0,0.0,0,0,0,1
0,0,2.0,0,18858.0,7319.0,568.0,360.0,1.0,0,0,0,1
0,0,0.0,0,22121.0,7532.0,161.0,360.0,0.0,0,0,0,1
0,1,1.0,0,17553.0,7366.0,97.0,180.0,1.0,1,0,0,1
1,1,2.0,1,14689.0,2648.0,641.0,300.0,0.752571737953438,0,0,1,0
1,1,3.0,0,12713.0,6903.0,425.0,360.0,1.0,1,0,0,1
1,1,2.0,0,8748.0,1858.0,82.0,360.0,1.0,1,1,1,0
1,0,2.0,1,5869.0,1102.0,553.0,240.0,1.0,0,1,1,0
0,1,2.0,1,9550.0,13788.0,676.0,314.1662255161461,0.0,0,0,0,1
0,1,3.0,0,18348.0,2481.0,52.0,180.0,1.0,1,0,1,0
1,0,0.0,0,23211.0,1820.0,535.0,300.0,1.0,0,0,0,1
0,1,0.0,0,6915.0,13129.0,565.0,360.0,0.752571737953438,0,0,0,0
1,1,0.0,0,16898.0,10271.0,91.0,180.0,1.0,1,0,1,0
1,1,0.0,0,9615.0,3158.0,58.0,180.0,1.0,1,1,0,1
1,1,2.0,0,1787.0,10632.0,658.0,180.0,0.752571737953438,0,0,1,0
1,1,1.0,0,4695.0,3684.0,191.0,360.0,1.0,1,0,0,1
0,0,1.0,0,19876.0,7411.0,485.0,360.0,0.752571737953438,0,0,0,0
1,0,0.0,1,8950.0,9447.0,76.0,360.0,1.0,1,0,1,0
0,1,2.0,0,4425.0,11149.0,92.0,360.0,1.0,1,0,0,1
0,0,0.0,0,16015.0,3651.0,180.0,360.0,1.0,1,1,0,0
1,1,2.0,0,19004.0,10431.0,265.0,240.0,1.0,1,0,0,1
0,0,1.0,0,6810.0,10131.0,655.0,360.0,0.0,0,1,0,1
0,0,0.0,1,18330.0,7707.0,569.0,360.0,1.0,0,0,0,1
1,1,0.0,0,13260.0,8461.0,647.0,240.0,1.0,0,0,0,0
0,0,0.0,0,16396.0,8107.0,394.0,300.0,1.0,1,0,1,0
1,1,3.0,0,24511.0,6881.0,557.0,360.0,0.752571737953438,0,1,1,0
1,1,3.0,0,20780.0,6220.0,699.0,360.0,1.0,0,1,1,0
1,0,1.0,1,18605.0,4830.0,462.0,300.0,0.0,0,0,0,1
0,1,0.0,0,20047.0,12256.0,295.0,300.0,1.0,1,0,0,0
0,1,0.0,0,12274.0,4979.0,498.0,360.0,1.0,1,0,0,0
1,1,2.0,0,16957.0,7334.0,70.0,360.0,0.752571737953438,0,0,0,0
1,0,2.0,0,11043.0,14619.0,457.0,360.0,1.0,1,1,0,0
0,1,0.0,0,5480.0,3775.0,506.0,180.0,0.0,0,0,1,0
1,1,0.0,0,22386.0,9304.0,493.0,360.0,1.0,1,0,0,1
1,0,2.0,1,13076.0,14879.0,314.0,360.0,1.0,1,0,0,1
0,0,0.0,0,19609.0,648.0,233.0,360.0,1.0,1,0,1,0
0,1,0.0,0,4913.0,9371.0,276.0,300.0,1.0,1,0,1,0
1,1,0.0,0,1994.0,14585.0,597.0,360.0,1.0,0,0,0,0
0,1,1.0,0,2447.0,10334.0,295.0,360.0,1.0,0,0,0,0
0,1,3.0,0,1522.0,16.0,122.0,314.1662255161461,1.0,0,0,0,1
1,1,0.9619249074563723,0,2628.0,8308.0,199.0,360.0,1.0,0,0,0,0
0,0,1.0,0,15486.0,13270.0,562.0,360.0,0.0,0,1,0,0
1,0,1.0,0,17661.0,6476.0,118.0,240.0,1.0,1,0,1,0
0,1,0.0,1,17660.0,5942.0,279.0,360.0,1.0,1,0,1,0
0,1,1.0,0,18441.0,1545.0,121.0,240.0,1.0,1,0,0,0
0,0,0.0,0,11308.0,11343.0,657.0,360.0,1.0,0,0,1,0
1,1,1.0,0,21614.0,2693.0,446.0,360.0,1.0,1,0,1,0
0,1,0.0,0,23225.0,7599.0,133.0,300.0,1.0,1,0,1,0
1,1,0.0,1,8498.0,4089.0,348.0,360.0,1.0,1,0,0,1
1,1,0.0,0,8682.0,6259.0,342.0,180.0,1.0,1,0,1,0
1,0,0.0,0,24918.0,5058.0,272.0,360.0,1.0,1,0,0,1
0,1,0.0,0,19540.0,9468.0,265.0,360.0,1.0,1,0,1,0
0,0,0.0,0,22057.0,3240.0,280.0,240.0,1.0,1,0,0,1
1,1,0.9619249074563723,0,23325.0,4942.0,454.0,360.0,0.0,0,0,0,0
0,1,0.0,0,10498.0,14651.0,218.0,360.0,1.0,1,0,0,0
1,0,1.0,0,4812.0,3788.0,378.0,360.0,1.0,1,1,0,1
0,1,3.0,0,14829.0,6953.0,475.0,360.0,1.0,1,0,0,1
1,0,0.9619249074563723,0,17302.0,371.0,603.0,240.0,1.0,0,0,1,0
0,1,1.0,0,12667.0,10999.0,245.0,240.0,0.752571737953438,0,0,0,0
1,1,3.0,0,3824.0,7020.0,657.0,180.0,1.0,0,0,0,1
0,0,0.0,1,11139.0,7120.0,575.0,180.0,1.0,0,0,0,1
1,1,0.0,1,23479.0,5702.0,674.0,360.0,0.0,0,0,1,0
1,1,0.0,1,14838.0,8347.0,126.0,360.0,1.0,1,0,0,0
1,1,2.0,0,12253.0,2661.0,326.0,180.0,1.0,1,0,0,1
0,1,2.0,1,7484.0,7180.0,515.0,360.0,1.0,0,0,0,0
0,1,0.0,0,20395.0,6651.0,497.0,360.0,1.0,1,0,1,0
1,0,0.0,0,16642.0,8656.0,369.0,300.0,1.0,1,0,0,1
0,0,1.0,1,12563.0,4878.0,209.0,360.0,1.0,1,1,1,0
0,0,0.0,0,1862.0,13091.0,541.0,360.0,1.0,0,1,0,1
0,0,1.0,0,4954.0,4315.0,362.0,360.0,1.0,1,0,0,1
0,0,2.0,0,20682.0,6158.0,680.0,180.0,1.0,0,0,0,1
1,0,2.0,0,22504.0,9965.0,210.0,360.0,1.0,1,0,1,0
1,1,2.0,0,4755.0,8308.0,357.0,360.0,0.752571737953438,0,0,0,0
0,0,3.0,0,19101.0,6474.0,195.0,314.1662255161461,1.0,1,0,1,0
0,0,1.0,0,19369.0,10295.0,445.0,180.0,1.0,1,1,0,1
0,1,2.0,0,6849.0,1374.0,138.0,240.0,0.0,0,1,0,1
1,1,1.0,0,8695.0,11395.0,357.0,360.0,1.0,1,0,1,0
1,1,0.0,0,11547.0,14306.0,595.0,360.0,1.0,0,0,0,1
0,1,0.0,0,9250.0,7393.0,420.0,360.0,1.0,1,0,1,0
0,0,0.0,0,23963.0,4403.0,500.0,360.0,1.0,0,1,1,0
0,1,0.0,0,10899.0,3546.0,216.0,360.0,1.0,1,0,0,0
0,1,1.0,1,15186.0,3977.0,441.0,360.0,0.0,0,0,0,1
0,1,3.0,0,9535.0,12509.0,686.0,360.0,1.0,0,0,0,0
1,1,0.0,0,3007.0,9388.0,540.0,180.0,1.0,0,0,0,1
1,1,0.0,0,18887.0,3411.0,199.0,240.0,1.0,1,1,1,0
0,1,0.9619249074563723,0,24287.0,8988.0,517.0,360.0,1.0,0,0,1,0
0,0,0.0,0,16276.0,13817.0,92.0,360.0,1.0,1,0,0,0
1,0,1.0,0,18809.0,3892.0,78.0,360.0,1.0,1,1,1,0
1,1,1.0,1,8083.0,7324.0,681.0,360.0,0.0,0,0,1,0
0,0,1.0,1,5427.0,8342.0,80.0,360.0,0.0,0,0,0,1
1,1,0.0,0,18869.0,14008.0,177.0,360.0,1.0,1,0,0,1
1,0,0.0,0,17297.0,3249.0,343.0,300.0,1.0,1,0,1,0
0,0,0.0,0,5731.0,13844.0,490.0,240.0,0.0,0,0,0,0
0,0,1.0,0,6802.0,111.0,437.0,180.0,1.0,1,0,1,0
0,1,1.0,1,6791.0,682.0,691.0,300.0,1.0,0,0,0,0
1,1,0.0,0,2408.0,1161.0,573.0,180.0,1.0,0,0,0,1
0,0,1.0,0,16623.0,7400.0,596.0,240.0,1.0,0,1,1,0
1,1,3.0,0,14377.0,2379.0,159.0,360.0,1.0,1,1,1,0
1,0,0.0,0,15739.0,13853.0,377.0,360.0,1.0,1,0,0,1
0,1,1.0,0,22935.0,13180.0,454.0,180.0,1.0,1,0,1,0
0,0,2.0,0,4086.0,5426.0,294.0,360.0,1.0,1,0,0,0
0,1,0.0,0,10835.0,8352.0,212.0,180.0,1.0,1,0,1,0
0,0,0.0,0,17140.0,1425.0,609.0,300.0,0.0,0,1,0,0
0,1,1.0,0,19215.0,3661.0,448.0,180.0,1.0,1,0,0,0
1,1,3.0,1,24735.0,8469.0,632.0,360.0,0.0,0,0,1,0
1,1,3.0,0,12034.0,11583.0,448.0,360.0,0.752571737953438,0,0,0,0
1,1,1.0,0,3306.0,9748.0,542.0,240.0,1.0,0,0,1,0
1,1,2.0,0,11792.0,7040.0,695.0,314.1662255161461,0.0,0,0,0,1
0,1,0.0,0,18689.0,4592.0,288.0,360.0,1.0,1,0,0,1
1,1,1.0,1,22031.0,7530.0,514.0,240.0,0.752571737953438,0,0,0,1
0,1,1.0,0,12467.0,13683.0,629.0,300.0,1.0,0,1,0,0
0,1,0.0,0,17955.0,10107.0,81.0,360.0,1.0,1,0,0,0
0,0,2.0,0,1527.0,12942.0,172.0,240.0,1.0,0,0,0,1
0,1,1.0,0,10160.0,3107.0,583.0,360.0,1.0,0,1,0,1
0,0,0.0,0,21867.0,302.0,159.0,360.0,1.0,1,0,1,0
0,0,3.0,0,8555.0,4533.0,320.0,360.0,0.0,0,0,0,0
1,0,0.0,1,24574.0,2773.0,429.0,180.0,1.0,1,0,1,0
0,1,0.0,0,11116.0,7199.0,349.0,180.0,1.0,1,1,1,0
1,0,0.0,0,11940.0,4281.0,676.0,360.0,0.752571737953438,0,0,0,0
1,1,2.0,0,5332.0,11437.0,298.0,300.0,0.0,0,0,1,0
0,1,2.0,0,17470.0,13877.0,570.0,240.0,1.0,0,1,1,0
1,1,0.0,0,14607.0,4768.0,83.0,240.0,1.0,1,1,0,1
0,0,2.0,0,15277.0,13561.0,277.0,360.0,1.0,1,1,1,0
0,1,0.0,0,17454.0,1000.0,634.0,360.0,1.0,0,0,0,1
0,1,2.0,1,18443.0,12026.0,448.0,360.0,1.0,1,0,0,1
1,1,1.0,0,9457.0,12198.0,633.0,300.0,0.0,0,0,0,0
1,0,0.0,0,14166.0,14614.0,619.0,360.0,0.0,0,1,0,0
0,1,3.0,0,21715.0,12970.0,269.0,314.1662255161461,1.0,1,0,0,0
1,1,0.0,0,11610.0,1718.0,420.0,240.0,1.0,1,0,1,0
0,0,0.0,0,8844.0,7169.0,577.0,180.0,1.0,0,1,0,0
0,1,1.0,0,23055.0,7361.0,124.0,180.0,0.752571737953438,0,0,0,1
0,1,0.9619249074563723,0,17962.0,3830.0,667.0,360.0,1.0,0,0,0,1
1,1,0.0,0,15196.0,7154.0,185.0,180.0,1.0,1,0,1,0
1,0,0.0,0,22813.0,5020.0,123.0,360.0,0.0,0,0,0,0
0,0,0.0,1,21531.0,11373.0,303.0,240.0,0.0,0,0,0,0
1,0,1.0,0,2531.0,14715.0,67.0,180.0,1.0,0,0,1,0
1,0,0.0,0,19956.0,2882.0,92.0,240.0,1.0,1,0,0,1
0,1,2.0,0,24795.0,998.0,99.0,240.0,1.0,1,0,0,1
0,1,0.9619249074563723,0,16590.0,284.0,564.0,360.0,1.0,0,0,1,0
0,1,1.0,0,23972.0,8612.0,620.0,360.0,1.0,0,0,1,0
0,1,0.0,0,17316.0,2160.0,625.0,240.0,1.0,0,1,0,0
1,1,0.0,0,19368.0,3065.0,631.0,360.0,1.0,0,0,1,0
0,0,0.0,1,11937.0,10467.0,352.0,360.0,1.0,1,0,0,0
0,1,3.0,0,16953.0,1494.0,191.0,360.0,1.0,1,1,0,1
1,0,0.0,0,23722.0,12076.0,251.0,360.0,0.0,0,0,1,0
0,1,0.0,1,15758.0,4623.0,256.0,360.0,1.0,1,0,1,0
0,1,2.0,0,3050.0,2543.0,464.0,240.0,1.0,0,1,0,0
0,1,0.0,1,14477.0,12318.0,270.0,180.0,0.0,0,0,1,0
0,1,1.0,0,23381.0,12449.0,411.0,360.0,1.0,1,0,0,0
0,0,0.0,0,6182.0,10033.0,130.0,300.0,1.0,1,0,1,0
1,1,3.0,0,15939.0,4800.0,612.0,360.0,0.752571737953438,0,0,0,1
1,1,3.0,0,19713.0,8913.0,334.0,360.0,1.0,1,0,0,1
0,1,1.0,0,5251.0,1401.0,418.0,240.0,1.0,1,0,0,0
0,1,0.9619249074563723,1,23965.0,445.0,541.0,240.0,1.0,0,1,0,0
0,1,0.0,1,14414.0,10983.0,395.0,360.0,0.0,0,0,0,1
0,0,1.0,0,11723.0,4522.0,253.0,314.1662255161461,0.0,0,0,0,1
0,1,1.0,0,16898.0,3767.0,74.0,300.0,1.0,1,0,1,0
0,1,1.0,0,8101.0,2551.0,602.0,360.0,1.0,0,0,1,0
0,0,0.0,0,22343.0,5646.0,118.0,360.0,0.752571737953438,0,0,0,1
0,1,0.0,0,5356.0,10159.0,565.0,240.0,0.0,0,0,1,0
0,1,0.0,0,14161.0,3888.0,541.0,360.0,1.0,0,1,1,0
0,1,0.0,1,17091.0,4816.0,289.0,360.0,0.0,0,0,0,0
0,1,0.0,0,7682.0,2731.0,410.0,240.0,1.0,1,1,0,1
1,1,2.0,0,23967.0,14089.0,490.0,360.0,1.0,1,0,0,0
1,1,0.0,0,9470.0,7699.0,80.0,360.0,1.0,1,1,1,0
1,1,0.0,0,16654.0,2629.0,678.0,360.0,1.0,0,0,0,1
0,1,1.0,0,3594.0,7687.0,651.0,180.0,0.0,0,0,1,0
1,1,1.0,0,13595.0,10156.0,371.0,360.0,1.0,1,0,0,1
1,1,3.0,0,24122.0,1057.0,393.0,360.0,0.0,0,1,0,0
0,1,1.0,1,20916.0,14332.0,585.0,360.0,1.0,0,0,1,0
1,1,0.0,1,15172.0,13023.0,404.0,360.0,1.0,1,1,0,1
0,1,3.0,0,19432.0,6834.0,520.0,300.0,1.0,0,0,0,1
1,1,1.0,0,15728.0,8949.0,154.0,300.0,1.0,1,0,0,0
1,1,0.0,0,10059.0,1795.0,371.0,360.0,1.0,1,0,0,1
0,1,1.0,1,1564.0,9835.0,621.0,180.0,1.0,0,1,1,0
1,1,3.0,0,4799.0,4849.0,576.0,240.0,1.0,0,0,1,0
1,1,0.0,0,6349.0,8215.0,553.0,240.0,0.0,0,1,0,0
0,1,0.0,0,7139.0,9431.0,134.0,360.0,1.0,1,1,1,0
0,1,0.0,0,19919.0,4150.0,284.0,360.0,1.0,1,0,0,0
1,1,0.0,0,12555.0,11289.0,312.0,240.0,0.0,0,0,0,1
0,1,0.0,1,23558.0,9496.0,55.0,360.0,0.0,0,0,0,1
1,1,1.0,0,20112.0,6947.0,543.0,360.0,0.752571737953438,0,0,0,1
1,0,0.0,0,23504.0,6470.0,338.0,180.0,1.0,1,1,1,0
0,1,3.0,0,18480.0,13257.0,619.0,314.1662255161461,1.0,0,0,0,0
0,1,2.0,0,21490.0,14521.0,603.0,360.0,1.0,0,0,1,0
0,1,1.0,0,12366.0,10734.0,399.0,180.0,1.0,1,1,1,0
0,0,3.0,1,5389.0,7179.0,249.0,360.0,1.0,1,0,0,0
0,1,0.0,0,21390.0,3712.0,384.0,300.0,0.0,0,0,0,1
0,1,1.0,0,16958.0,12147.0,656.0,360.0,1.0,0,0,0,1
1,1,1.0,0,19279.0,12721.0,266.0,360.0,1.0,1,0,0,0
0,1,3.0,0,1952.0,12495.0,672.0,360.0,1.0,0,0,1,0
1,1,2.0,0,12495.0,12420.0,402.0,360.0,1.0,1,1,1,0
1,1,0.0,0,4131.0,5458.0,680.0,360.0,1.0,0,0,1,0
1,0,3.0,0,3686.0,5315.0,374.0,360.0,1.0,0,0,1,0
1,1,0.0,1,7467.0,5381.0,277.0,180.0,1.0,1,0,0,1
0,0,3.0,0,24258.0,9497.0,194.0,360.0,0.0,0,0,0,0
0,1,0.9619249074563723,0,23242.0,12656.0,357.0,180.0,1.0,1,0,1,0
0,1,0.0,0,5848.0,3174.0,683.0,360.0,1.0,0,1,0,1
1,1,2.0,0,2959.0,13494.0,334.0,180.0,1.0,0,0,0,0
1,1,0.0,0,3442.0,14758.0,441.0,360.0,1.0,0,0,1,0
1,1,0.0,0,16396.0,11820.0,409.0,360.0,1.0,1,0,0,0
1,1,1.0,0,23306.0,6387.0,214.0,360.0,1.0,1,0,0,1
0,0,1.0,1,15907.0,8973.0,630.0,360.0,0.752571737953438,0,0,0,1
0,0,3.0,0,17122.0,6767.0,273.0,240.0,1.0,1,0,0,1
0,1,2.0,0,16057.0,566.0,173.0,180.0,1.0,1,0,0,1
1,1,1.0,0,23080.0,4622.0,393.0,360.0,1.0,1,0,0,0
0,0,3.0,1,17945.0,4132.0,573.0,360.0,0.752571737953438,0,0,0,0
0,1,0.9619249074563723,0,19378.0,12465.0,101.0,360.0,1.0,1,0,1,0
0,0,0.0,1,19064.0,8830.0,178.0,360.0,1.0,1,1,0,0
0,1,0.9619249074563723,0,14593.0,11892.0,184.0,180.0,0.0,0,0,0,1
1,1,0.0,0,24152.0,6995.0,176.0,360.0,1.0,1,0,0,0
1,1,3.0,0,4288.0,4167.0,120.0,360.0,1.0,1,0,0,0
1,1,0.0,0,11900.0,10591.0,322.0,360.0,0.0,0,0,1,0
0,1,0.0,0,22520.0,2670.0,236.0,360.0,1.0,1,0,0,1
1,1,0.0,0,22605.0,9364.0,52.0,360.0,1.0,1,0,0,0
1,0,1.0,0,23594.0,9912.0,334.0,360.0,1.0,1,0,1,0
1,1,0.0,0,17989.0,8296.0,71.0,360.0,1.0,1,0,0,0
1,1,0.0,0,21971.0,1682.0,215.0,360.0,1.0,1,0,0,1
0,1,1.0,0,5425.0,12508.0,359.0,360.0,1.0,1,0,1,0
0,1,3.0,0,19792.0,10041.0,526.0,180.0,1.0,0,0,1,0
1,1,0.0,0,19933.0,9054.0,547.0,360.0,1.0,0,0,0,1
